,Target,SS,SS2,MWE,Notes,
भौरा,,,,,,
न,,,,,,
जाने,,,,,,
कहां,,,,,,
से,से,Source,Source,,,
गिर,,,,,,
पड़ा,,,,,,
था,,,,,,
।,,,,,,
,,,,,,
इतने,,,,,,
जोरों,,,,,,
की,का,Characteristic,Identity,,,
आवाज,,,,,,
हुई,,,,,,
कि,,,,,,
मुझसे,से,Agent,Agent,,,
हिसाब,,,,,,
में,में,Topic,Topic,,,
चार,,,,,,
गलतियां,,,,,,
हुईं,,,,,,
।,,,,,,
,,,,,,
दूसरी,,,,,,
बार,,,,,,
,,,,,,
ग्यारह,,,,,,
साल,,,,,,
हुए,,,,,,
मुझे,को,Experiencer,Recipient,,,
गठिया,,,,,,
हो,,,,,,
गई,,,,,,
थी,,,,,,
।,,,,,,
,,,,,,
मैं,,,,,,
व्यायाम,,,,,,
तो,,,,,,
कर,,,,,,
नहीं,,,,,,
पाता,,,,,,
।,,,,,,
,,,,,,
मेरे,के पास,Possessor,Locus,1:1,can time be possessed? should this be annotated at all,
पास,के पास,,,1:2,,
खराब,,,,,,
करने,,,,,,
के,के लिए,Purpose,Purpose,1:1,,
लिए,के लिए,,,1:2,,
वक्त,,,,,,
तो,,,,,,
है,,,,,,
नहीं,,,,,,
।,,,,,,
,,,,,,
गम्भीर,,,,,,
व्यक्ति,,,,,,
जो,,,,,,
ठहरा,,,,,,
।,,,,,,
,,,,,,
तीसरा,,,,,,
बार,,,,,,
....,,,,,,
,,,,,,
यह,,,,,,
रहे,,,,,,
तुम,,,,,,
हां,,,,,,
,,,,,,
तो,,,,,,
मैं,,,,,,
कहां,,,,,,
था,,,,,,
इक्यावन,,,,,,
करोड़,,,,,,
...,,,,,,
,,,,,,
,,,,,,
,,,,,,
इक्यावन,,,,,,
करोड़,,,,,,
क्या,,,,,,
?,,,,,,
,,,,,,
,,,,,,
व्यवसायी,,,,,,
समझ,,,,,,
गया,,,,,,
कि,,,,,,
उसे,को,Recipient,Recipient,,,
शांति,,,,,,
नहीं,,,,,,
मिलने,,,,,,
वाली,,,,,,
है,,,,,,
।,,,,,,
,,,,,,
,,,,,,
वे,,,,,,
छोटी-छोटी,,,,,,
चीजें,,,,,,
जो,,,,,,
कभी-कभी,,,,,,
आसमान,,,,,,
में,में,Locus,Locus,,,
दिखाई,,,,,,
पड़ती,,,,,,
हैं,,,,,,
।,,,,,,
,,,,,,
,,,,,,
,,,,,,
मक्खियां?,,,,,,
,,,,,,
,,,,,,
,,,,,,
नहीं,,,,,,
भाई,,,,,,
।,,,,,,
,,,,,,
वे,,,,,,
जो,,,,,,
चमकती,,,,,,
हैं,,,,,,
।,,,,,,
,,,,,,
,,,,,,
,,,,,,
जुगनू?,,,,,,
,,,,,,
,,,,,,
,,,,,,
नहीं,,,,,,
!,,,,,,
,,,,,,
नहीं,,,,,,
!,,,,,,
,,,,,,
सुनहरी,,,,,,
चीजें,,,,,,
जिन्हें,को,Stimulus,Theme,,,
देखकर,,,,,,
असली,,,,,,
लोग,,,,,,
हवाई,,,,,,
किले,,,,,,
बनाने,,,,,,
लगते,,,,,,
हैं,,,,,,
।,,,,,,
,,,,,,
लेकिन,,,,,,
मैं,,,,,,
ऐसा-वैसा,,,,,,
आदमी,,,,,,
नहीं,,,,,,
,,,,,,
मुझे,को,Gestalt,Recipient,,,
वक्त,,,,,,
खराब,,,,,,
करने,,,,,,
की,का,Purpose,Purpose,,,
फुरसत,,,,,,
नहीं।,,,,,,
,,,,,,
,,,,,,
अच्छा,,,,,,
!,,,,,,
,,,,,,
सितारे,,,,,,
?,,,,,,
,,,,,,
,,,,,,
,,,,,,
हां,,,,,,
!,,,,,,
,,,,,,
हां,,,,,,
!,,,,,,
,,,,,,
सितारे,,,,,,
!,,,,,,
,,,,,,
,,,,,,
,,,,,,
इन,,,,,,
पचास,,,,,,
करोड़,,,,,,
सितारों,,,,,,
से,से,Topic,Topic,,*Q*,
तेरा,का,Experiencer,Gestalt,,,
क्या,,,,,,
मतलब,,,,,,
?,,,,,,
,,,,,,
,,,,,,
,,,,,,
पचास,,,,,,
करोड़,,,,,,
नहीं,,,,,,
-,,,,,,
पचास,,,,,,
करोड़,,,,,,
सोलह,,,,,,
लाख,,,,,,
बाईस,,,,,,
हजार,,,,,,
सात,,,,,,
सौ,,,,,,
इक्तीस,,,,,,
।,,,,,,
,,,,,,
मैं,,,,,,
इधर-उधर,,,,,,
की,का,Topic,Topic,,,
बात,,,,,,
नहीं,,,,,,
करता,,,,,,
।,,,,,,
,,,,,,
मैं,,,,,,
गलती,,,,,,
नहीं,,,,,,
करता,,,,,,
।,,,,,,
,,,,,,
,,,,,,
क्या,,,,,,
करता,,,,,,
है,,,,,,
तू,,,,,,
इन,,,,,,
सितारों,,,,,,
का,का,Theme,Theme,,,
?,,,,,,
,,,,,,
,,,,,,
,,,,,,
उनका,का,Theme,Theme,,,
मैं,,,,,,
क्या,,,,,,
करता,,,,,,
हूं,,,,,,
?,,,,,,
,,,,,,
,,,,,,
,,,,,,
हां,,,,,,
।,,,,,,
,,,,,,
,,,,,,
,,,,,,
कुछ,,,,,,
नहीं,,,,,,
-,,,,,,
बस,,,,,,
उनका,का,Possession,Possession,,,
मालिक,,,,,,
हूं,,,,,,
।,,,,,,
,,,,,,
,,,,,,
,,,,,,
तू,,,,,,
सितारों,,,,,,
का,का,Possession,Possession,,,
मालिक,,,,,,
हूं,,,,,,
।,,,,,,
,,,,,,
,,,,,,
,,,,,,
हां।,,,,,,
,,,,,,
,,,,,,
,,,,,,
लेकिन,,,,,,
...,,,,,,
,,,,,,
मैं,,,,,,
एक,,,,,,
राजा,,,,,,
को,को,Topic,Theme,,,
जानता,,,,,,
हूं,,,,,,
जो,,,,,,
...,,,,,,
,,,,,,
वो,,,,,,
राजा,,,,,,
कहता,,,,,,
था,,,,,,
कि,,,,,,
सब,,,,,,
सितारों,,,,,,
पर,पर,Theme,Theme,,,
उसी,,,,,,
का,का,Agent,Gestalt,,,
राज्य,,,,,,
है,,,,,,
।,,,,,,
,,,,,,
,,,,,,
,,,,,,
राजाओं,,,,,,
का,का,Possessor,Possessor,,,
कुछ,,,,,,
नहीं,,,,,,
होता,,,,,,
।,,,,,,
,,,,,,
बस,,,,,,
वे,,,,,,
शासन,,,,,,
करते,,,,,,
हैं,,,,,,
।,,,,,,
,,,,,,
रखना,,,,,,
और,,,,,,
शासन,,,,,,
करना,,,,,,
अलग,,,,,,
चीजें,,,,,,
हैं,,,,,,
।,,,,,,
,,,,,,
,,,,,,
,,,,,,
इन,,,,,,
सितारों,,,,,,
का,का,Possession,Possession,,,
मालिक,,,,,,
होने,,,,,,
से,से,Explanation,Source,,,
तुझे,को,Recipient,Recipient,,,
क्या,,,,,,
मिलता,,,,,,
है,,,,,,
?,,,,,,
,,,,,,
,,,,,,
,,,,,,
मैं,,,,,,
इनकी,की वजह से,Explanation,Explanation,1:1,,
वजह,की वजह से,,,1:2,,
से,की वजह से,,,1:3,,
धनी,,,,,,
हूं,,,,,,
!,,,,,,
,,,,,,
,,,,,,
,,,,,,
और,,,,,,
धनी,,,,,,
होने,,,,,,
से,से,Explanation,Source,,,
फायदा,,,,,,
?,,,,,,
,,,,,,
,,,,,,
,,,,,,
अगर,,,,,,
और,,,,,,
किन्हीं,,,,,,
सितारों,,,,,,
का,का,Topic,Topic,,,
पता,,,,,,
चले,,,,,,
तो,,,,,,
मैं,,,,,,
उन्हें,को,Possession,Theme,,,
खरीद,,,,,,
सकता,,,,,,
हूं,,,,,,
।,,,,,,
,,,,,,
,,,,,,
राजकुमार,,,,,,
ने,ने,Experiencer,Agent,,,
सोचा,,,,,,
कि,,,,,,
वह,,,,,,
तो,,,,,,
बिल्कुल,,,,,,
उस,,,,,,
शराबी,,,,,,
जैसे,जैसे,ComparisonRef,ComparisonRef,,,
तर्क,,,,,,
दे,,,,,,
रहा,,,,,,
है,,,,,,
।,,,,,,
,,,,,,
,,,,,,
अरे,,,,,,
भाई,,,,,,
सितारों,,,,,,
को,को,Theme,Theme,,*Q* Possession?,
कोई,,,,,,
कैसे,,,,,,
रख,,,,,,
सकता,,,,,,
है,,,,,,
-,,,,,,
कैसे,,,,,,
उनका,का,Possession,Possession,,,
मालिक,,,,,,
बन,,,,,,
सकता,,,,,,
है,,,,,,
?,,,,,,
,,,,,,
,,,,,,
,,,,,,
तो,,,,,,
किसके,का,Possessor,Possessor,,,
हैं,,,,,,
यह,,,,,,
सितारे,,,,,,
?,,,,,,
,,,,,,
,,,,,,
व्यवसायी,,,,,,
ने,ने,Originator,Agent,,,
खीज,,,,,,
कर,,,,,,
पूछा,,,,,,
।,,,,,,
,,,,,,
,,,,,,
मुझे,को,Experiencer,Agent,,,
नहीं,,,,,,
मालूम,,,,,,
-,,,,,,
शायद,,,,,,
किसी,,,,,,
के,का,Possessor,Possessor,,,
नहीं,,,,,,
।,,,,,,
,,,,,,
,,,,,,
,,,,,,
अगर,,,,,,
किसी,,,,,,
के,का,Possessor,Possessor,,,
नहीं,,,,,,
हैं,,,,,,
तो,,,,,,
मेरे,का,Possessor,Possessor,,,
हैं,,,,,,
क्योंकि,,,,,,
सबसे,से पहले,Time,Time,1:1,,
पहले,से पहले,,,1:2,,
मैंने,ने,Experiencer,Agent,,,
ही,,,,,,
ऐसा,,,,,,
सोचा,,,,,,
है,,,,,,
।,,,,,,
,,,,,,
,,,,,,
,,,,,,
सोचना,,,,,,
काफी,,,,,,
होता,,,,,,
है,,,,,,
?,,,,,,
,,,,,,
,,,,,,
,,,,,,
और,,,,,,
क्या,,,,,,
।,,,,,,
,,,,,,
अगर,,,,,,
तुझे,को,Recipient,Recipient,,,
एक,,,,,,
हीरा,,,,,,
मिल,,,,,,
जाए,,,,,,
जो,,,,,,
किसी,,,,,,
का,का,Possessor,Possessor,,,
न,,,,,,
हो,,,,,,
तो,,,,,,
वह,,,,,,
तेरा,का,Possessor,Possessor,,,
ही,,,,,,
तो,,,,,,
होगा,,,,,,
।,,,,,,
,,,,,,
अगर,,,,,,
तुझे,को,Recipient,Recipient,,,
एक,,,,,,
लावारिस,,,,,,
टापू,,,,,,
मिले,,,,,,
तो,,,,,,
तेरा,का,Possessor,Possessor,,,
ही,,,,,,
होगा,,,,,,
!,,,,,,
,,,,,,
अगर,,,,,,
तुम्हारे,का,Whole,Whole,,,
दिमाग,,,,,,
में,में,Locus,Locus,,,
कोई,,,,,,
विचार,,,,,,
पैदा,,,,,,
हो,,,,,,
और,,,,,,
तू,,,,,,
उसे,को,Theme,Theme,,,
पेटेन्ट,,,,,,
करा,,,,,,
ले,,,,,,
तो,,,,,,
वह,,,,,,
तेरा,का,Possessor,Possessor,,,
ही,,,,,,
होगा,,,,,,
।,,,,,,
,,,,,,
इसी,,,,,,
तरह,,,,,,
सितारे,,,,,,
मेरे,का,Possessor,Possessor,,,
हैं,,,,,,
क्योंकि,,,,,,
मुझसे,से पहले,Time,Time,1:1,,
पहले,से पहले,,,1:2,,
किसी,,,,,,
ने,ने,Experiencer,Agent,,,
उन्हें,को,Possession,Theme,,,
अपनाने,,,,,,
के,के बारे में,Topic,Topic,2:1,,
बारे,के बारे में,,,2:2,,
में,के बारे में,,,2:3,,
नहीं,,,,,,
सोचा,,,,,,
।,,,,,,
,,,,,,
,,,,,,
,,,,,,
यह,,,,,,
तो,,,,,,
ठीक,,,,,,
है,,,,,,
पर,,,,,,
तू,,,,,,
करेगा,,,,,,
क्या,,,,,,
इनका,का,Theme,Theme,,,
?,,,,,,
,,,,,,
,,,,,,
,,,,,,
मैं,,,,,,
उनकी,का,Theme,Theme,,,
देखभाल,,,,,,
करता,,,,,,
हूं,,,,,,
।,,,,,,
,,,,,,
मैं,,,,,,
उन्हें,को,Stimulus,Theme,,*Q*,
बार-बार,,,,,,
गिनता,,,,,,
हूं,,,,,,
।,,,,,,
,,,,,,
काम,,,,,,
मुश्किल,,,,,,
है,,,,,,
पर,,,,,,
मैं,,,,,,
गम्भीर,,,,,,
और,,,,,,
व्यस्त,,,,,,
आदमी,,,,,,
हूं,,,,,,
!,,,,,,
,,,,,,
,,,,,,
राजकुमार,,,,,,
को,को,Experiencer,Recipient,,,
संतोष,,,,,,
नहीं,,,,,,
हुआ,,,,,,
,,,,,,
।,,,,,,
,,,,,,
अगर,,,,,,
मेरे,के पास,Possessor,Locus,1:1,,
पास,के पास,,,1:2,,
एक,,,,,,
मफलर,,,,,,
हो,,,,,,
तो,,,,,,
मैं,,,,,,
उसे,को,Possession,Theme,,attire,
गले,,,,,,
के,का,Whole,Whole,,,
चारों,,,,,,
ओर,,,,,,
लपेट,,,,,,
सकता,,,,,,
हूं,,,,,,
।,,,,,,
,,,,,,
मैं,,,,,,
उसे,को,Possession,Theme,,,
जहां,,,,,,
चाहूं,,,,,,
ले,,,,,,
जा,,,,,,
सकता,,,,,,
हूं,,,,,,
।,,,,,,
,,,,,,
यदि,,,,,,
मेरे,के पास,Possessor,Locus,,,
पास,के पास,,,,,
एक,,,,,,
फूल,,,,,,
हो,,,,,,
तो,,,,,,
मैं,,,,,,
उसे,को,Theme,Theme,,,
तोड़,,,,,,
सकता,,,,,,
हूं,,,,,,
-,,,,,,
जो,,,,,,
चाहे,,,,,,
कर,,,,,,
सकता,,,,,,
हूं,,,,,,
,,,,,,
लेकिन,,,,,,
तू,,,,,,
सितारों,,,,,,
को,को,Theme,Theme,,,
तोड़,,,,,,
नहीं,,,,,,
सकता,,,,,,
!,,,,,,
,,,,,,
,,,,,,
यह,,,,,,
ठीक,,,,,,
है,,,,,,
पर,,,,,,
मैं,,,,,,
उन्हें,को,Theme,Theme,,,
बैंक,,,,,,
में,में,Goal,Locus,,,
डाल,,,,,,
सकता,,,,,,
हूं,,,,,,
।,,,,,,
,,,,,,
क्या,,,,,,
माने,,,,,,
हुए,,,,,,
इसके,का,Gestalt,Gestalt,,,
?,,,,,,
,,,,,,
इसका,का,Gestalt,Gestalt,,,
मतलब,,,,,,
हुआ,,,,,,
कि,,,,,,
इन,,,,,,
सितारों,,,,,,
की,का,Gestalt,Gestalt,,,
संख्या,,,,,,
एक,,,,,,
कागज,,,,,,
पर,पर,Locus,Locus,,,
लिखकर,,,,,,
मैं,,,,,,
उसे,को,Theme,Theme,,,
दराज,,,,,,
में,में,Goal,Locus,,,
बंद,,,,,,
कर,,,,,,
सकता,,,,,,
हूं,,,,,,
।,,,,,,
,,,,,,
इतना,,,,,,
काफी,,,,,,
है,,,,,,
?,,,,,,
,,,,,,
बस?,,,,,,
,,,,,,
राजकुमार,,,,,,
को,को,Experiencer,Recipient,,,
यह,,,,,,
बात,,,,,,
मजेदार,,,,,,
लगी,,,,,,
।,,,,,,
,,,,,,
बात,,,,,,
काव्यात्मक,,,,,,
थी,,,,,,
पर,,,,,,
गम्भीर,,,,,,
नहीं,,,,,,
।,,,,,,
,,,,,,
गम्भीर,,,,,,
बातों,,,,,,
के,का,Topic,Identity,,,
विषय,,,,,,
में,में,Topic,Topic,,,
उसके,का,Experiencer,Gestalt,,,
विचार,,,,,,
वयस्कों,,,,,,
से,से,ComparisonRef,Source,,,
बहुत,,,,,,
भिन्न,,,,,,
थे,,,,,,
।,,,,,,
,,,,,,
मैं,,,,,,
...,,,,,,
,,,,,,
उसने,ने,Originator,Agent,,,
कहा,,,,,,
,,,,,,
,,,,,,
मेरे,के पास,Possessor,Locus,1:1,,
पास,के पास,,,1:2,,
एक,,,,,,
फूल,,,,,,
है,,,,,,
जिसे,को,Goal,Theme,,,
मैं,,,,,,
रोज,,,,,,
सींचता,,,,,,
हूं,,,,,,
।,,,,,,
,,,,,,
मेरे,के पास,Possessor,Possessor,1:1,,
पास,के पास,,,1:2,,
तीन,,,,,,
ज्वालामुखी,,,,,,
हैं,,,,,,
जिनकी,का,Theme,Theme,,,
मैं,,,,,,
हर,,,,,,
हफ्ते,,,,,,
सफाई,,,,,,
करता,,,,,,
हूं,,,,,,
-,,,,,,
उसकी,का,Theme,Theme,,,
भी,,,,,,
जो,,,,,,
सुप्त,,,,,,
है,,,,,,
-,,,,,,
कौन,,,,,,
जाने,,,,,,
...,,,,,,
।,,,,,,
,,,,,,
ये,,,,,,
फूल,,,,,,
और,,,,,,
ज्वालामुखी,,,,,,
मेरे,का,Possessor,Possessor,,,
हैं,,,,,,
...,,,,,,
,,,,,,
इससे,से,Explanation,Source,,,
उन्हें,को,Beneficiary,Recipient,,,
लाभ,,,,,,
होता,,,,,,
है,,,,,,
-,,,,,,
,,,,,,
मैं,,,,,,
उनके,के लिए,Beneficiary,Beneficiary,1:1,,
लिए,के लिए,,,1:2,,
उपयोगी,,,,,,
हूं,,,,,,
लेकिन,,,,,,
तू,,,,,,
...,,,,,,
,,,,,,
तू,,,,,,
सितारों,,,,,,
के,का,Beneficiary,Gestalt,,,
किसी,,,,,,
काम,,,,,,
नहीं,,,,,,
आता,,,,,,
है,,,,,,
?,,,,,,
,,,,,,
व्यवसायी,,,,,,
का,का,Whole,Whole,,,
मुंह,,,,,,
खुला,,,,,,
पर,,,,,,
उत्तर,,,,,,
में,में,Characteristic,Locus,,*Q* https://github.com/carmls/snacs-guidelines/issues/23,
उसके,,,,,,
पास,,,,,,
कोई,,,,,,
शब्द,,,,,,
नहीं,,,,,,
था,,,,,,
।,,,,,,
,,,,,,
राजकुमार,,,,,,
वहां,,,,,,
से,से,Source,Source,,,
भी,,,,,,
चल,,,,,,
पड़ा,,,,,,
।,,,,,,
,,,,,,
उसने,ने,Experiencer,Agent,,,
सोचा,,,,,,
सचमुच,,,,,,
ये,,,,,,
वयस्क,,,,,,
लोग,,,,,,
अजीब,,,,,,
होते,,,,,,
हैं,,,,,,
।,,,,,,
